epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
126,3370.02,1.1025,0.99625,1.08671,0.85375,0.72737,0.81255,0.60163,0.96355,0.7051,0.99039,0.000979362,0.000979362,0.000979362
127,3394.43,1.0985,0.9828,1.08204,0.85457,0.7107,0.79955,0.59316,0.97251,0.72035,0.99144,0.000973861,0.000973861,0.000973861
128,3419.09,1.08915,0.9831,1.08251,0.87099,0.68823,0.80695,0.5947,0.9715,0.72432,0.99771,0.00096836,0.00096836,0.00096836
129,3443.74,1.07406,0.9626,1.06947,0.89151,0.70789,0.81985,0.60733,0.94621,0.69181,0.98412,0.000962859,0.000962859,0.000962859
130,3468.43,1.09103,0.98403,1.09153,0.87428,0.71233,0.81466,0.59641,0.95561,0.69152,0.98395,0.000957358,0.000957358,0.000957358
131,3494.03,1.06814,0.9598,1.06566,0.87152,0.71809,0.82161,0.6151,0.92406,0.68648,0.97466,0.000951857,0.000951857,0.000951857
132,3526.72,1.08652,0.94785,1.07277,0.86748,0.73177,0.82305,0.61109,0.94252,0.68552,0.97432,0.000946356,0.000946356,0.000946356
133,3551.16,1.10443,0.96665,1.08002,0.91511,0.68852,0.81451,0.60033,0.94373,0.69892,0.97312,0.000940855,0.000940855,0.000940855
134,3575.51,1.08352,0.96447,1.0734,0.90237,0.69704,0.81855,0.61067,0.92737,0.68215,0.97871,0.000935354,0.000935354,0.000935354
135,3599.79,1.07142,0.95476,1.07483,0.8716,0.72849,0.82488,0.617,0.93195,0.65778,0.97976,0.000929853,0.000929853,0.000929853
136,3624.67,1.07456,0.96261,1.0731,0.89586,0.71994,0.82042,0.60914,0.94535,0.67921,0.98028,0.000924352,0.000924352,0.000924352
137,3649.2,1.05377,0.93319,1.06396,0.89282,0.73444,0.82961,0.62105,0.91734,0.6708,0.97472,0.00091885,0.00091885,0.00091885
138,3673.92,1.05391,0.94262,1.064,0.89434,0.72295,0.82907,0.6146,0.94106,0.67538,0.97524,0.000913349,0.000913349,0.000913349
139,3698.5,1.06436,0.94693,1.07421,0.87606,0.72383,0.82245,0.61081,0.92978,0.67276,0.97729,0.000907848,0.000907848,0.000907848
140,3723.22,1.06656,0.93248,1.07409,0.90862,0.71116,0.82406,0.61411,0.90588,0.66865,0.97068,0.000902347,0.000902347,0.000902347
141,3748.15,1.0779,0.95024,1.07745,0.87159,0.73818,0.82221,0.61806,0.922,0.66308,0.966,0.000896846,0.000896846,0.000896846
142,3772.09,1.07066,0.95059,1.07898,0.8953,0.72152,0.82965,0.61701,0.92583,0.66254,0.97236,0.000891345,0.000891345,0.000891345
143,3796.07,1.0686,0.93362,1.06939,0.90998,0.72304,0.82616,0.61776,0.92018,0.64297,0.96931,0.000885844,0.000885844,0.000885844
144,3820.24,1.04634,0.91971,1.06111,0.89028,0.74194,0.83076,0.62332,0.9151,0.65209,0.96908,0.000880343,0.000880343,0.000880343
145,3844.41,1.06927,0.91942,1.0677,0.90737,0.73138,0.82911,0.62505,0.895,0.64842,0.96591,0.000874842,0.000874842,0.000874842
146,3868.69,1.05233,0.90713,1.06018,0.91811,0.71188,0.82719,0.62591,0.9082,0.65828,0.96391,0.00086934,0.00086934,0.00086934
147,3892.75,1.03633,0.91709,1.04128,0.90174,0.73797,0.83784,0.63348,0.88122,0.62973,0.95262,0.000863839,0.000863839,0.000863839
148,3916.78,1.02568,0.88383,1.04182,0.89453,0.74886,0.83684,0.63511,0.89949,0.63092,0.95932,0.000858338,0.000858338,0.000858338
149,3941.05,1.02468,0.88375,1.04864,0.91061,0.71975,0.83656,0.62766,0.88591,0.63783,0.95131,0.000852837,0.000852837,0.000852837
150,3965.48,1.07781,0.9173,1.06671,0.91059,0.7245,0.82741,0.62704,0.89259,0.64566,0.95704,0.000847336,0.000847336,0.000847336
151,3990.97,1.008,0.8536,1.03949,0.90293,0.73508,0.83961,0.63481,0.89015,0.62995,0.95494,0.000841835,0.000841835,0.000841835
152,4015.19,1.04405,0.89389,1.048,0.86146,0.75306,0.84344,0.64054,0.88515,0.63,0.95496,0.000836334,0.000836334,0.000836334
153,4039.28,1.03114,0.86308,1.04339,0.91495,0.74848,0.84754,0.63888,0.88849,0.6176,0.9524,0.000830833,0.000830833,0.000830833
154,4063.2,1.02149,0.88742,1.04183,0.89932,0.74258,0.8399,0.63933,0.88104,0.6148,0.95064,0.000825332,0.000825332,0.000825332
155,4087.4,1.0274,0.89527,1.05127,0.89244,0.7333,0.83919,0.63589,0.89986,0.62012,0.95998,0.000819831,0.000819831,0.000819831
156,4111.51,1.0242,0.86395,1.03766,0.89307,0.7538,0.8431,0.63785,0.88078,0.62302,0.94821,0.000814329,0.000814329,0.000814329
157,4135.51,0.983,0.85506,1.03865,0.88169,0.74313,0.84212,0.64209,0.86771,0.60894,0.95108,0.000808828,0.000808828,0.000808828
158,4159.78,1.00939,0.87418,1.03514,0.87946,0.76262,0.84333,0.6429,0.87491,0.61666,0.94517,0.000803327,0.000803327,0.000803327
159,4183.95,1.02168,0.86799,1.03889,0.89368,0.74334,0.84365,0.63645,0.88325,0.60603,0.9493,0.000797826,0.000797826,0.000797826
160,4207.74,0.99179,0.84349,1.04005,0.92094,0.72758,0.84021,0.64546,0.86621,0.6038,0.94311,0.000792325,0.000792325,0.000792325
161,4231.68,1.01134,0.86318,1.04531,0.90613,0.75186,0.85581,0.64668,0.86552,0.60648,0.9443,0.000786824,0.000786824,0.000786824
162,4255.59,1.01612,0.86776,1.0323,0.86083,0.77412,0.8519,0.64233,0.86792,0.61298,0.94302,0.000781323,0.000781323,0.000781323
163,4279.49,1.00315,0.8514,1.04198,0.89884,0.75592,0.84393,0.64858,0.86752,0.60144,0.94421,0.000775822,0.000775822,0.000775822
164,4303.68,1.00368,0.86697,1.04034,0.89818,0.74544,0.84487,0.65267,0.85465,0.60419,0.94121,0.000770321,0.000770321,0.000770321
165,4327.68,0.99745,0.86734,1.03723,0.91093,0.75349,0.84581,0.65718,0.85132,0.60217,0.94092,0.00076482,0.00076482,0.00076482
166,4351.49,1.01839,0.84272,1.03857,0.92041,0.73283,0.84707,0.65412,0.85053,0.60193,0.93782,0.000759318,0.000759318,0.000759318
167,4375.34,0.99902,0.83042,1.04174,0.92789,0.73166,0.85189,0.65256,0.85031,0.593,0.93764,0.000753817,0.000753817,0.000753817
168,4399.78,0.99345,0.8553,1.0291,0.91568,0.7573,0.85097,0.65336,0.8474,0.58958,0.93168,0.000748316,0.000748316,0.000748316
169,4424.03,1.0071,0.85063,1.0281,0.92655,0.74015,0.85249,0.65697,0.84527,0.58894,0.93074,0.000742815,0.000742815,0.000742815
170,4448.07,0.98,0.80989,1.01885,0.92693,0.74765,0.85563,0.65403,0.84318,0.59232,0.93227,0.000737314,0.000737314,0.000737314
171,4472.27,0.99275,0.83282,1.03047,0.88644,0.76308,0.856,0.65975,0.83123,0.58102,0.92748,0.000731813,0.000731813,0.000731813
172,4496.33,0.9715,0.80599,1.00758,0.89476,0.76567,0.8533,0.66161,0.82998,0.57914,0.92804,0.000726312,0.000726312,0.000726312
173,4520.23,0.98851,0.81971,1.02649,0.89403,0.76476,0.8529,0.65882,0.83562,0.57918,0.92762,0.000720811,0.000720811,0.000720811
174,4544.08,0.9478,0.79468,1.01988,0.89096,0.77135,0.85242,0.66383,0.83717,0.57908,0.92872,0.00071531,0.00071531,0.00071531
175,4568.42,0.97643,0.81848,1.02665,0.89151,0.77833,0.85221,0.66354,0.82377,0.57408,0.92443,0.000709809,0.000709809,0.000709809
176,4592.87,0.98339,0.81282,1.03062,0.8923,0.76377,0.85185,0.65763,0.82292,0.57622,0.92801,0.000704307,0.000704307,0.000704307
177,4616.78,0.97462,0.81885,1.02696,0.93403,0.73907,0.85735,0.66273,0.81608,0.56741,0.92454,0.000698806,0.000698806,0.000698806
178,4640.76,0.97068,0.80602,1.0219,0.91263,0.75859,0.8604,0.67301,0.80931,0.56614,0.92084,0.000693305,0.000693305,0.000693305
179,4664.89,0.97928,0.79412,1.01792,0.931,0.75097,0.86309,0.67477,0.8132,0.55606,0.92467,0.000687804,0.000687804,0.000687804
